id_cliente,primer_nombre,apellido_paterno,apellido_materno,correo,genero,idioma,estado_civil,cant_hijos,edad,estudios,Color_F
1,Ibby,Plewes,Izac,iizac0@cnbc.com,Female,Lithuanian,Otro,1,1,RMA,Celeste
2,Doralia,Ewell,Townsend,dtownsend1@ow.ly,Female,Armenian,Viudo,2,2,IEX Total View,Azul
3,Lynette,Merrydew,Feaveryear,lfeaveryear2@aol.com,Female,Papiamento,Soltero,3,3,RMI,Celeste
4,Janaye,Jeffryes,Anglim,janglim3@ameblo.jp,Female,Georgian,Casado,4,4,MTP3,Azul
5,Travus,Divis,Minchindon,tminchindon4@sourceforge.net,Male,Northern Sotho,Casado,1,5,RMI,Amarrillo
6,Roseanne,Hollingshead,Nolder,rnolder5@theatlantic.com,Female,Tswana,Casado,2,6,uCOS,Otro
7,Hillier,Redihalgh,Rosas,hrosas6@gov.uk,Male,Afrikaans,Viudo,3,7,Application Architecture,Amarrillo
8,Vin,Trahear,Valasek,vvalasek7@businessweek.com,Male,Punjabi,Casado,4,8,SDL Trados,Azul
9,Hanny,Gostridge,Eldershaw,heldershaw8@netlog.com,Female,Armenian,Viudo,1,9,RV,Otro
10,Idalina,Yurtsev,McGill,imcgill9@people.com.cn,Female,Papiamento,Casado,2,10,RCMS,Rojo
11,Xylia,Milesap,Dogerty,xdogertya@nymag.com,Female,Amharic,Viudo,3,11,RV,Amarrillo
12,Dermot,Hofton,Vevers,dveversb@mtv.com,Male,Burmese,Otro,4,12,RV,Rojo
13,Cello,Darracott,Vosper,cvosperc@tumblr.com,Male,Dutch,Otro,1,13,IDX,Morado
14,Dael,Fiddiman,Irdale,dirdaled@marketwatch.com,Female,Albanian,Viudo,2,14,IEX Total View,Rojo
15,Betta,Hassent,McRobbie,bmcrobbiee@senate.gov,Female,Bengali,Casado,3,15,Objective-C,Celeste
16,Stacee,Asals,Giovannilli,sgiovannillif@comcast.net,Female,West Frisian,Otro,4,16,Titration,Amarrillo
17,Raine,Steffans,Langfield,rlangfieldg@weibo.com,Female,Haitian Creole,Viudo,1,17,Yammer,Otro
18,Claudell,Remington,Lemme,clemmeh@github.com,Male,Dutch,Casado,2,18,PPC,Azul
19,Merrie,Commings,Duffitt,mduffitti@techcrunch.com,Female,Icelandic,Otro,3,19,LLU,Verde
20,Herc,Frazier,Greenman,hgreenmanj@mlb.com,Male,Marathi,Soltero,4,20,CQA,Celeste
21,Sinclair,Peskett,Cardenosa,scardenosak@wordpress.org,Male,Filipino,Soltero,1,21,Skin Care,Otro
22,Morly,Coil,Fleckness,mflecknessl@oracle.com,Male,Icelandic,Casado,2,22,MCDBA,Rojo
23,Tabby,McRinn,Barde,tbardem@loc.gov,Female,Danish,Otro,3,23,WAN,Azul
24,Paula,Floch,Bysh,pbyshn@rediff.com,Female,Ndebele,Otro,4,24,Object Oriented Design,Otro
25,Wyatt,Sumner,Chasmer,wchasmero@thetimes.co.uk,Male,Somali,Otro,1,25,HV,Otro
26,Ketty,Minster,Rosenhaupt,krosenhauptp@purevolume.com,Female,Gagauz,Soltero,2,26,JCAHO,Otro
27,Farris,Baldwin,Olivera,foliveraq@dell.com,Male,Gagauz,Soltero,3,27,Urban Geography,Verde
